Title,Body HTML,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Price,Variant Compare At Price,Image Src,Image Position,Collection
"Bottine Cuir Premium Homme – Noir","<p>Bottine élégante en cuir véritable, confectionnée avec un savoir-faire artisanal exceptionnel. Design minimaliste et raffiné, parfaite pour un style homme moderne et sophistiqué. Semelle intérieure en cuir pour un confort optimal toute la journée.</p><p>Idéale pour les occasions formelles et décontractées, cette bottine allie élégance intemporelle et qualité premium.</p>",Erzana Homme,Chaussures,"bottes-bottines,haute_gamme,nouveaute",TRUE,Taille,40,Couleur,Noir,649,849,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Bottine+Premium+Noir",1,"Bottes & Bottines"
"Bottine Cuir Premium Homme – Noir",,Erzana Homme,Chaussures,"bottes-bottines,haute_gamme,nouveaute",TRUE,Taille,41,Couleur,Noir,649,849,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Bottine+Premium+Noir",1,"Bottes & Bottines"
"Bottine Cuir Premium Homme – Noir",,Erzana Homme,Chaussures,"bottes-bottines,haute_gamme,nouveaute",TRUE,Taille,42,Couleur,Noir,649,849,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Bottine+Premium+Noir",1,"Bottes & Bottines"
"Bottine Cuir Premium Homme – Noir",,Erzana Homme,Chaussures,"bottes-bottines,haute_gamme,nouveaute",TRUE,Taille,43,Couleur,Noir,649,849,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Bottine+Premium+Noir",1,"Bottes & Bottines"
"Bottine Cuir Premium Homme – Noir",,Erzana Homme,Chaussures,"bottes-bottines,haute_gamme,nouveaute",TRUE,Taille,44,Couleur,Noir,649,849,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Bottine+Premium+Noir",1,"Bottes & Bottines"
"Bottine Heritage Classique – Blanc","<p>Bottine classique en cuir blanc premium, inspirée des modèles traditionnels revisités avec une touche contemporaine. Finitions impeccables et doublure en cuir souple pour un confort exceptionnel.</p><p>Un must-have pour l'homme moderne qui apprécie l'élégance intemporelle et la qualité supérieure.</p>",Erzana Homme,Chaussures,"bottes-bottines,tendance",TRUE,Taille,40,Couleur,Blanc,699,899,"https://via.placeholder.com/1200x1500/ffffff/231f20?text=Bottine+Heritage+Blanc",1,"Bottes & Bottines"
"Bottine Heritage Classique – Blanc",,Erzana Homme,Chaussures,"bottes-bottines,tendance",TRUE,Taille,41,Couleur,Blanc,699,899,"https://via.placeholder.com/1200x1500/ffffff/231f20?text=Bottine+Heritage+Blanc",1,"Bottes & Bottines"
"Bottine Heritage Classique – Blanc",,Erzana Homme,Chaussures,"bottes-bottines,tendance",TRUE,Taille,42,Couleur,Blanc,699,899,"https://via.placeholder.com/1200x1500/ffffff/231f20?text=Bottine+Heritage+Blanc",1,"Bottes & Bottines"
"Bottine Heritage Classique – Blanc",,Erzana Homme,Chaussures,"bottes-bottines,tendance",TRUE,Taille,43,Couleur,Blanc,699,899,"https://via.placeholder.com/1200x1500/ffffff/231f20?text=Bottine+Heritage+Blanc",1,"Bottes & Bottines"
"Bottine Heritage Classique – Blanc",,Erzana Homme,Chaussures,"bottes-bottines,tendance",TRUE,Taille,44,Couleur,Blanc,699,899,"https://via.placeholder.com/1200x1500/ffffff/231f20?text=Bottine+Heritage+Blanc",1,"Bottes & Bottines"
"Derby Minimaliste Classique – Noir","<p>Derby élégant en cuir noir premium, design minimaliste et raffiné. Parfait pour un style professionnel et sophistiqué. Semelle en cuir avec renfort en caoutchouc pour une meilleure adhérence.</p><p>Confortable et durable, cette chaussure de ville allie tradition et modernité pour l'homme exigeant.</p>",Erzana Homme,Chaussures,"chaussures-de-ville,haute_gamme",TRUE,Taille,40,Couleur,Noir,599,799,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Derby+Minimaliste+Noir",1,"Chaussures de Ville"
"Derby Minimaliste Classique – Noir",,Erzana Homme,Chaussures,"chaussures-de-ville,haute_gamme",TRUE,Taille,41,Couleur,Noir,599,799,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Derby+Minimaliste+Noir",1,"Chaussures de Ville"
"Derby Minimaliste Classique – Noir",,Erzana Homme,Chaussures,"chaussures-de-ville,haute_gamme",TRUE,Taille,42,Couleur,Noir,599,799,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Derby+Minimaliste+Noir",1,"Chaussures de Ville"
"Derby Minimaliste Classique – Noir",,Erzana Homme,Chaussures,"chaussures-de-ville,haute_gamme",TRUE,Taille,43,Couleur,Noir,599,799,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Derby+Minimaliste+Noir",1,"Chaussures de Ville"
"Derby Minimaliste Classique – Noir",,Erzana Homme,Chaussures,"chaussures-de-ville,haute_gamme",TRUE,Taille,44,Couleur,Noir,599,799,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Derby+Minimaliste+Noir",1,"Chaussures de Ville"
"Richelieu Heritage Classique – Noir","<p>Richelieu en cuir noir premium, confectionné selon les standards de la maroquinerie de luxe. Design classique intemporel, parfait pour les occasions formelles et professionnelles.</p><p>Doublure en cuir souple et semelle intérieure confortable pour un port agréable toute la journée.</p>",Erzana Homme,Chaussures,"chaussures-de-ville,haute_gamme,tendance",TRUE,Taille,40,Couleur,Noir,749,949,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Richelieu+Heritage+Noir",1,"Chaussures de Ville"
"Richelieu Heritage Classique – Noir",,Erzana Homme,Chaussures,"chaussures-de-ville,haute_gamme,tendance",TRUE,Taille,41,Couleur,Noir,749,949,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Richelieu+Heritage+Noir",1,"Chaussures de Ville"
"Richelieu Heritage Classique – Noir",,Erzana Homme,Chaussures,"chaussures-de-ville,haute_gamme,tendance",TRUE,Taille,42,Couleur,Noir,749,949,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Richelieu+Heritage+Noir",1,"Chaussures de Ville"
"Richelieu Heritage Classique – Noir",,Erzana Homme,Chaussures,"chaussures-de-ville,haute_gamme,tendance",TRUE,Taille,43,Couleur,Noir,749,949,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Richelieu+Heritage+Noir",1,"Chaussures de Ville"
"Richelieu Heritage Classique – Noir",,Erzana Homme,Chaussures,"chaussures-de-ville,haute_gamme,tendance",TRUE,Taille,44,Couleur,Noir,749,949,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Richelieu+Heritage+Noir",1,"Chaussures de Ville"
"Basket Confort+ Ultra-Légère – Noir","<p>Basket premium ultra-légère en cuir noir, alliant confort exceptionnel et style moderne. Semelle amortissante pour un confort optimal lors de longues journées.</p><p>Design épuré et minimaliste, parfaite pour un style décontracté élégant. Matériaux de qualité supérieure pour une durabilité maximale.</p>",Erzana Homme,Chaussures,"baskets-espadrilles,confort,nouveaute",TRUE,Taille,40,Couleur,Noir,549,749,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Basket+Confort+Noir",1,"Baskets & Espadrilles"
"Basket Confort+ Ultra-Légère – Noir",,Erzana Homme,Chaussures,"baskets-espadrilles,confort,nouveaute",TRUE,Taille,41,Couleur,Noir,549,749,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Basket+Confort+Noir",1,"Baskets & Espadrilles"
"Basket Confort+ Ultra-Légère – Noir",,Erzana Homme,Chaussures,"baskets-espadrilles,confort,nouveaute",TRUE,Taille,42,Couleur,Noir,549,749,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Basket+Confort+Noir",1,"Baskets & Espadrilles"
"Basket Confort+ Ultra-Légère – Noir",,Erzana Homme,Chaussures,"baskets-espadrilles,confort,nouveaute",TRUE,Taille,43,Couleur,Noir,549,749,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Basket+Confort+Noir",1,"Baskets & Espadrilles"
"Basket Confort+ Ultra-Légère – Noir",,Erzana Homme,Chaussures,"baskets-espadrilles,confort,nouveaute",TRUE,Taille,44,Couleur,Noir,549,749,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Basket+Confort+Noir",1,"Baskets & Espadrilles"
"Espadrille Premium Minimaliste – Blanc","<p>Espadrille élégante en toile premium blanche, semelle en jute traditionnelle. Design minimaliste et raffiné, parfaite pour un style décontracté sophistiqué.</p><p>Légère et confortable, idéale pour les beaux jours. Finitions soignées et matériaux de qualité pour une durabilité optimale.</p>",Erzana Homme,Chaussures,"baskets-espadrilles,tendance",TRUE,Taille,40,Couleur,Blanc,449,649,"https://via.placeholder.com/1200x1500/ffffff/231f20?text=Espadrille+Premium+Blanc",1,"Baskets & Espadrilles"
"Espadrille Premium Minimaliste – Blanc",,Erzana Homme,Chaussures,"baskets-espadrilles,tendance",TRUE,Taille,41,Couleur,Blanc,449,649,"https://via.placeholder.com/1200x1500/ffffff/231f20?text=Espadrille+Premium+Blanc",1,"Baskets & Espadrilles"
"Espadrille Premium Minimaliste – Blanc",,Erzana Homme,Chaussures,"baskets-espadrilles,tendance",TRUE,Taille,42,Couleur,Blanc,449,649,"https://via.placeholder.com/1200x1500/ffffff/231f20?text=Espadrille+Premium+Blanc",1,"Baskets & Espadrilles"
